a52dec 0.7.4-9
aalib 1.4rc5-12
accounts-qml-module 0.7-1
accountsservice 0.6.45-1
acl 2.2.52-4
acpi 1.7-2
acpid 2.0.28-1
adwaita-icon-theme 3.26.1-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-utils 1.1.5-2
antergos-alerts 17.11.18-1
antergos-common-meta 1.1-1
antergos-desktop-settings 1.6-2
antergos-gnome-defaults-list 1.0-1
antergos-gnome-meta 1.0-1
antergos-keyring 20170524-1
antergos-midnight-timers 1.0-3
antergos-mirrorlist 20170930-1
antergos-wallpapers 0.7-3
appstream-glib 0.7.4-1
archlinux-appstream-data 20180221-1
archlinux-keyring 20180108-1
argon2 20171227-3
arp-scan 1.9-3
aspell 0.60.6.1-5
aspell-en 2017.08.24-1
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
attica 5.43.0-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-4
b43-fwcutter 019-1
babl 0.1.38-1
baobab 3.26.1-1
bash 4.4.019-1
bash-completion 2.7-2
bc 1.07.1-1
biber 2.11-1
bind-tools 9.12.0-1
binutils 2.29.1-2
bison 3.0.4-3
blas 3.8.0-1
bluez 5.48-2
bluez-libs 5.48-2
boost 1.66.0-1
boost-libs 1.66.0-1
brasero 3.12.2-2
brightness-controller r109.44b9cf8-1
btrfs-progs 4.15.1-1
bubblewrap 0.2.0-1
bzip2 1.0.6-7
bzr 2.7.0-2
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.35-1
ca-certificates-utils 20170307-1
cabextract 1.6-2
cairo 1.15.10-1
cairomm 1.12.2-2
calibre 3.18.0-1
cantarell-fonts 1:0.100-1
caribou 0.4.21+0+g36e3d0f-2
cblas 3.8.0-1
cdparanoia 10.2-5
cdrdao 1.2.3-10
cdrtools 3.02a09-1
celt 0.11.3-3
cheese 3.26.0-1
chez-scheme 9.5-2
chmlib 0.40-5
chromaprint 1.4.3-1
chromium 64.0.3282.186-1
cifs-utils 6.7-2
clojure 1.9.0-5
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gst 3.0.24-1
clutter-gtk 1.8.4-1
cmake 3.10.2-2
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.1+6+gf08c25d-1
colord-gtk 0.1.26+5+ga9d9c91-1
compton 0.1_beta2.5-10
confuse 3.2.1-1
coreutils 8.29-1
cower 17-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 2.0.1-1
cups 2.2.6-4
cups-filters 1.20.1-1
cups-pk-helper 0.2.6-1
curl 7.58.0-1
cython 0.27.3-3
db 5.3.28-3
dbus 1.12.4-1
dbus-glib 0.110-1
dconf 0.26.1-1
dconf-editor 3.26.2-1
desktop-file-utils 0.23-1
device-mapper 2.02.177-1
dhcpcd 7.0.1-1
diffutils 3.6-1
ding-libs 0.6.1-1
djvulibre 3.5.27-3
dleyna-connector-dbus 0.3.0-1
dleyna-core 0.6.0-1
dleyna-renderer 0.6.0-1
dleyna-server 0.6.0-1
dmenu 4.7-2
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
dosfstools 4.1-1
double-conversion 3.0.0-1
dvd+rw-tools 7.1-7
e2fsprogs 1.43.9-1
efibootmgr 15-1
efivar 32-1
enchant 2.2.3-1
eog 3.26.2-1
evince 3.26.0+14+g2a499547-1
evolution 3.26.5-1
evolution-data-server 3.26.5-1
exempi 2.4.3+2+g65a8492-1
exfat-utils 1.2.7-1
exiv2 0.26-2
expac 8-1
expat 2.2.5-1
f2fs-tools 1.10.0-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.22-1
feh 2.24-1
ffmpeg 1:3.4.2-1
ffmpegthumbnailer 2.2.0-1
fftw 3.3.7-1
file 5.32-1
file-roller 3.26.2-1
filesystem 2017.10-2
findutils 4.6.0-2
firefox 58.0.2-1
flac 1.3.2-1
flex 2.6.4-1
folks 0.11.4-1
fontconfig 2.12.6+5+g665584a-1
foomatic-db-engine 4:4.0.12-7
freeglut 3.0.0-2
freetype2 2.9-2
fribidi 1.0.1+8+gdf7252b-1
fuse-common 3.2.1-1
fuse2 2.9.7-4
gawk 4.2.0-3
gc 7.6.4-1
gcab 1.0+2+gc0947f6-1
gcc 7.3.0-1
gcc-fortran 7.3.0-1
gcc-libs 7.3.0-1
gconf 3.2.6-5
gcr 3.20.0+55+g470bf4c-1
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.11-1
gdm 3.26.2.1-1
gedit 3.22.1+1+gd21912e3e-1
gegl 0.3.26-1
geoclue2 2.4.7-1
geocode-glib 3.25.4.1-1
geoip 1.6.11-1
geoip-database 20180206-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghc-libs 8.2.2-1
ghostscript 9.22-7
giflib 5.1.4-1
git 2.16.2-1
gjs 1:1.50.4-1
glances 2.11.1-2
glew 2.1.0-1
glew1.10 1.10.0-1
glib-networking 2.54.1-1
glib2 2.54.3+2+g94b38beff-1
glibc 2.26-11
glibmm 2.54.1-1
glu 9.0.0-4
gmime3 3.2.0-1
gmp 6.1.2-1
gnome-autoar 0.2.2-1
gnome-backgrounds 3.26.2-1
gnome-bluetooth 3.26.0+1+g3875844-1
gnome-calculator 3.26.0-2
gnome-calendar 3.26.3+2+g966ec1c5-1
gnome-color-manager 3.26.0+16+g3b2109b-1
gnome-contacts 3.26+3+g643f622-1
gnome-control-center 3.26.2+14+g5ac6a0da6-1
gnome-desktop 1:3.26.2-2
gnome-disk-utility 3.26.2-1
gnome-documents 3.26.1-1
gnome-font-viewer 3.26.0-1
gnome-keyring 1:3.27.4+8+gff229abc-1
gnome-logs 3.26.3-1
gnome-maps 3.26.2-1
gnome-menus 3.13.3+29+g7f0844e-1
gnome-music 3.26.1-1
gnome-online-accounts 3.26.2-1
gnome-online-miners 3.26.0-1
gnome-photos 3.26.3-1
gnome-screenshot 3.26.0-1
gnome-session 3.26.1-2
gnome-settings-daemon 3.26.2-1
gnome-shell 3.26.2+14+g64c857e3f-1
gnome-shell-extension-dash-to-dock 1:61-1
gnome-shell-extension-status-menu-buttons 0.3-2
gnome-shell-extensions 3.26.2+9+g683b5ee-1
gnome-sound-recorder 3.24.0.1+8+g0b8e221-1
gnome-system-monitor 3.26.0+1+g97b9578d-1
gnome-terminal 3.26.2-1
gnome-themes-standard 3.22.3+16+gc092fc89-1
gnome-tweak-tool 3.26.4-1
gnome-weather 3.26.0-1
gnu-netcat 0.7.1-6
gnupg 2.2.5-1
gnutls 3.5.18-1
go 2:1.10-2
gobject-introspection-runtime 1.54.1-1
gom 0.3.3-1
gpgme 1.10.0-2
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.8.0-1
graphite 1:1.3.10-1
grep 3.1-1
grilo 0.3.4-1
grilo-plugins 0.3.5-1
groff 1.22.3-7
grub 2:2.02-4
grub2-theme-antergos 0.1-1
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsm 1.0.17-1
gspell 1.7.1-1
gssdp 1.0.2-1
gssproxy 0.8.0-1
gst-libav 1.12.4-1
gst-plugins-bad 1.12.4-3
gst-plugins-base 1.12.4-1
gst-plugins-base-libs 1.12.4-1
gst-plugins-good 1.12.4-2
gst-plugins-ugly 1.12.4-3
gstreamer 1.12.4-1
gstreamer-vaapi 1.12.4-1
gtk-engine-murrine 0.98.2-3
gtk-update-icon-cache 3.22.28-1
gtk2 2.24.32-1
gtk3 3.22.28-1
gtkglext 1.2.0-10
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview3 3.24.6-1
gtkspell3 3.0.9-3
guake 3.0.4-2
gufw 18.04.0-1
guile 2.2.3-1
gupnp 1.0.2+4+g47b1010-1
gupnp-av 0.12.10-1
gupnp-dlna 0.10.5-2
gvfs 1.34.2-1
gvfs-goa 1.34.2-1
gvfs-google 1.34.2-1
gvfs-mtp 1.34.2-1
gvfs-smb 1.34.2-1
gzip 1.9-1
harfbuzz 1.7.5-1
harfbuzz-icu 1.7.5-1
haskell-aeson 1.2.4.0-5
haskell-aeson-pretty 0.8.5-28
haskell-ansi-terminal 0.7.1.1-2
haskell-asn1-encoding 0.9.5-37
haskell-asn1-parse 0.9.4-48
haskell-asn1-types 0.3.2-44
haskell-async 2.1.1.1-6
haskell-attoparsec 0.13.2.2-7
haskell-base-compat 0.9.3-5
haskell-base64-bytestring 1.0.0.1-10
haskell-basement 0.0.7-1
haskell-blaze-builder 0.4.0.2-9
haskell-blaze-html 0.9.0.1-11
haskell-blaze-markup 0.8.2.0-6
haskell-byteable 0.1.1-7
haskell-case-insensitive 1.2.0.10-8
haskell-cereal 0.5.5.0-1
haskell-cmark-gfm 0.1.3-4
haskell-cmdargs 0.10.20-1
haskell-colour 2.3.4-2
haskell-conduit 1.2.13-9
haskell-connection 0.2.8-54
haskell-cookie 0.4.3-4
haskell-cryptonite 0.24-23
haskell-data-default 0.7.1.1-11
haskell-data-default-class 0.1.2.0-6
haskell-data-default-instances-containers 0.0.1-18
haskell-data-default-instances-dlist 0.0.1-24
haskell-data-default-instances-old-locale 0.0.1-18
haskell-digest 0.0.1.2-7
haskell-dlist 0.8.0.4-1
haskell-doctemplates 0.2.1-14
haskell-exceptions 0.8.3-7
haskell-foundation 0.0.20-1
haskell-glob 0.9.1-3
haskell-haddock-library 1.4.5-7
haskell-hashable 1.2.6.1-6
haskell-hourglass 0.2.11-5
haskell-hslua 0.9.5-8
haskell-hslua-module-text 0.1.2.1-12
haskell-http 4000.3.9-18
haskell-http-client 0.5.10-7
haskell-http-client-tls 0.3.5.3-14
haskell-http-types 0.9.1-17
haskell-hxt 9.3.1.16-9
haskell-hxt-charproperties 9.2.0.1-5
haskell-hxt-regex-xmlschema 9.2.0.3-9
haskell-hxt-unicode 9.0.2.4-5
haskell-integer-logarithms 1.0.2-4
haskell-juicypixels 3.2.9.4-2
haskell-lexer 1.0.1-5
haskell-lifted-base 0.2.3.11-9
haskell-memory 0.14.15-1
haskell-mime-types 0.1.0.7-9
haskell-mmorph 1.1.1-2
haskell-monad-control 1.0.2.2-5
haskell-mtl 2.2.2-1
haskell-network 2.6.3.3-4
haskell-network-uri 2.6.1.0-11
haskell-old-locale 1.0.0.7-12
haskell-old-time 1.1.0.3-12
haskell-pandoc-types 1.17.3.1-10
haskell-parsec 3.1.13.0-2
haskell-pem 0.2.3-2
haskell-pretty-show 1.6.16-2
haskell-primitive 0.6.3.0-1
haskell-quickcheck 2.10.1-3
haskell-random 1.1-10
haskell-regex-base 0.93.2-31
haskell-regex-pcre 0.94.4-7
haskell-resourcet 1.1.11-6
haskell-safe 0.3.15-4
haskell-scientific 0.3.5.2-6
haskell-semigroups 0.18.4-1
haskell-sha 1.6.4.2-9
haskell-skylighting 0.6-4
haskell-socks 0.5.6-6
haskell-split 0.2.3.3-1
haskell-stm 2.4.5.0-1
haskell-streaming-commons 0.1.19-4
haskell-syb 0.7-4
haskell-tagged 0.8.5-5
haskell-tagsoup 0.14.3-2
haskell-temporary 1.2.1.1-6
haskell-texmath 0.10.1.1-8
haskell-text 1.2.3.0-2
haskell-tf-random 0.5-15
haskell-th-abstraction 0.2.6.0-3
haskell-time-locale-compat 0.1.1.3-5
haskell-tls 1.4.0-32
haskell-transformers-base 0.4.4-10
haskell-transformers-compat 0.5.1.4-7
haskell-unliftio-core 0.1.1.0-1
