acl 2.2.52-4
acpid 2.0.28-1
adwaita-icon-theme 3.26.1-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-utils 1.1.5-2
antergos-alerts 17.11.18-1
antergos-keyring 20170524-1
antergos-midnight-timers 1.0-3
antergos-mirrorlist 20170930-1
archlinux-keyring 20180108-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-4
b43-fwcutter 019-1
bash 4.4.019-1
bash-completion 2.7-2
bc 1.07.1-1
bind-tools 9.12.0-1
binutils 2.29.1-2
bison 3.0.4-3
bluez-libs 5.48-2
btrfs-progs 4.15.1-1
bzip2 1.0.6-7
bzr 2.7.0-2
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.35-1
ca-certificates-utils 20170307-1
cabextract 1.6-2
cairo 1.15.10-1
cantarell-fonts 1:0.100-1
celt 0.11.3-3
chromaprint 1.4.3-1
cifs-utils 6.7-2
cmake 3.10.2-2
cmatrix 1.2a-12
colord 1.4.1+6+gf08c25d-1
compton 0.1_beta2.5-10
confuse 3.2.1-1
coreutils 8.29-1
cowsay 3.03-9
cracklib 2.9.6-1
crda 3.18-1
cryptsetup 2.0.1-1
cups 2.2.6-4
cups-filters 1.20.1-1
cups-pk-helper 0.2.6-1
curl 7.58.0-1
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dconf 0.26.1-1
desktop-file-utils 0.23-1
device-mapper 2.02.177-1
dhcpcd 7.0.1-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
ding-libs 0.6.1-1
dmenu 4.7-2
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
dosfstools 4.1-1
double-conversion 3.0.0-1
e2fsprogs 1.43.9-1
efibootmgr 15-1
efivar 32-1
enchant 2.2.3-1
ethtool 1:4.15-1
exfat-utils 1.2.7-1
expat 2.2.5-1
f2fs-tools 1.10.0-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.22-1
feh 2.25-1
ffmpeg 1:3.4.2-1
fftw 3.3.7-1
file 5.32-1
filesystem 2017.10-2
findutils 4.6.0-2
firefox 58.0.2-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.12.6+5+g665584a-1
foomatic-db-engine 4:4.0.12-7
freeglut 3.0.0-2
freetype2 2.9-2
fribidi 1.0.1+8+gdf7252b-1
fuse-common 3.2.1-1
fuse2 2.9.7-4
gawk 4.2.0-3
gc 7.6.4-1
gcc 7.3.0-1
gcc-libs 7.3.0-1
gconf 3.2.6-5
gdbm 1.14.1-1
gdk-pixbuf2 2.36.11-1
geoclue2 2.4.7-1
geoip 1.6.11-1
geoip-database 20180206-1
gettext 0.19.8.1-2
ghostscript 9.22-7
giflib 5.1.4-1
git 2.16.2-1
glew1.10 1.10.0-1
glib-networking 2.54.1-1
glib2 2.54.3+2+g94b38beff-1
glibc 2.26-11
glu 9.0.0-4
gmp 6.1.2-1
gnupg 2.2.5-1
gnutls 3.5.18-1
gobject-introspection-runtime 1.54.1-1
gpgme 1.10.0-2
gpm 1.20.7-8
graphene 1.8.0-1
graphite 1:1.3.10-1
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-4
grub2-theme-antergos 0.1-1
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsm 1.0.17-1
gssproxy 0.8.0-1
gst-plugins-bad 1.12.4-3
gst-plugins-base-libs 1.12.4-1
gstreamer 1.12.4-1
gtk-update-icon-cache 3.22.28-1
gtk2 2.24.32-1
gtk3 3.22.28-1
guile 2.2.3-1
gzip 1.9-1
harfbuzz 1.7.5-1
harfbuzz-icu 1.7.5-1
haveged 1.9.1-4
hicolor-icon-theme 0.17-1
hplip 3.17.11-1
hspell 1.4-1
htop 2.1.0-2
hunspell 1.6.2-1
hwids 20171003-1
hyphen 2.8.8-1
i3-gaps 4.14.1-2
i3blocks 1.4-6
i3lock 2.10-1
i3status 2.11-3
iana-etc 20180221-1
icu 60.2-1
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 7.0.7.23-1
imlib2 1.4.10-1
inetutils 1.9.4-5
intel-ucode 20180108-1
inxi 2.3.56-1
iproute2 4.15.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.76-1
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk9-openjdk 9.0.4.u11-1
jfsutils 1.1.15-4
jre9-openjdk 9.0.4.u11-1
jre9-openjdk-headless 9.0.4.u11-1
js 24.2.0-4
json-c 0.13-1
json-glib 1.4.2-2
jsoncpp 1.8.4-2
kbd 2.0.4-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.16-1
ladspa 1.13-6
lame 3.100-1
lcms2 2.9-1
ldns 1.7.0-4
less 530-1
lib32-alsa-lib 1.1.5-1
lib32-alsa-plugins 1.1.5-1
lib32-atk 2.26.1-1
lib32-attr 2.4.47-2
lib32-bzip2 1.0.6-2
lib32-cairo 1.15.10-1
lib32-cracklib 2.9.6-1
lib32-curl 7.58.0-1
lib32-dbus 1.12.4-1
lib32-dbus-glib 0.110-1
lib32-e2fsprogs 1.43.7-1
lib32-expat 2.2.2-1
lib32-flac 1.3.2-1
lib32-fontconfig 2.12.6+5+g665584a-1
lib32-freeglut 3.0.0-1
lib32-freetype2 2.8.1-1
lib32-gcc-libs 7.3.0-1
lib32-gconf 3.2.6-2
lib32-gdk-pixbuf2 2.36.6-1
lib32-giflib 5.1.4-1
lib32-glew1.10 1.10.0-2
lib32-glib2 2.54.2-2
lib32-glibc 2.26-11
lib32-glu 9.0.0-3
lib32-gmp 6.1.2-1
lib32-gnutls 3.5.13-1
lib32-gtk2 2.24.32-1
lib32-harfbuzz 1.7.5-1
lib32-icu 60.1-1
lib32-imlib2 1.4.10-1
lib32-keyutils 1.5.10-1
lib32-krb5 1.16-1
lib32-libappindicator-gtk2 12.10.0-9
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcaca 0.99.beta19-1
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcap 2.25-1
lib32-libcups 2.2.4-2
lib32-libcurl-compat 7.58.0-1
lib32-libcurl-gnutls 7.58.0-1
lib32-libdatrie 0.2.10-1
lib32-libdbusmenu-glib 16.04.0-2
lib32-libdbusmenu-gtk2 16.04.0-2
lib32-libdrm 2.4.90-3
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.8.1-1
lib32-libgcrypt15 1.5.6-4
lib32-libglvnd 1.0.0-1
lib32-libgpg-error 1.27-1
lib32-libgudev 232-1
lib32-libice 1.0.9-3
lib32-libid3tag 0.15.1b-1
lib32-libidn 1.33-1
lib32-libindicator-gtk2 12.10.1-6
lib32-libjpeg-turbo 1.5.3-1
lib32-libjpeg6-turbo 1.5.3-1
lib32-libldap 2.4.44-2
